"GeneID","GSM4681806","GSM4681807","GSM4681808","GSM4681809","GSM4681810","GSM4681811","GSM4681812","GSM4681813","GSM4681814","GSM4681815","GSM4681816","GSM4681817","GSM4681818","GSM4681820"
10524,446,258,237,134,144,394,227,126,297,254,651,674,298,552
84153,495,447,556,302,252,538,188,207,239,352,337,837,439,667
91056,3369,2924,3602,919,1598,1353,1503,649,1228,1164,1686,1666,1148,1560
5017,0,0,0,0,0,0,4,0,0,0,0,0,0,1
101927828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254122,1726,1353,1835,740,790,1932,850,688,786,995,792,1615,1131,1192
1072,11632,10953,14517,6259,6332,11562,6116,4348,5542,7236,5906,13057,8734,10032
80198,228,152,118,54,85,171,66,74,67,145,155,556,223,428
30008,35,12,18,8,28,56,8,18,14,21,20,27,25,30
1521,1135,2036,1915,600,1696,3099,715,1148,1186,745,904,1575,1898,1458
9158,494,383,682,333,312,328,163,187,236,408,161,747,287,626
11007,553,579,970,850,458,953,397,451,522,639,343,926,530,684
8061,8,15,28,7,9,61,8,87,60,44,19,6,89,14
83638,224,242,508,268,161,154,95,69,93,127,120,722,334,567
10589,1576,1035,3097,848,874,2011,1093,708,960,1440,1235,1837,1152,1157
105369349,3,2,0,0,1,5,1,5,4,2,2,2,0,0
105369350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254187,3,1,2,0,0,0,0,0,0,2,0,4,1,1
9092,1228,782,686,293,573,1915,950,540,1360,1159,1607,1724,1001,1354
84285,337,138,78,37,74,399,193,131,293,272,322,381,140,350
8815,398,313,511,273,216,200,94,137,115,191,104,926,495,760
1474,0,1,0,0,0,0,0,1,1,0,0,1,0,0
117144,96,40,86,28,19,71,32,24,48,47,29,111,37,99
89792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10992,2898,1573,293,96,1021,3069,1992,828,2577,1917,3666,3915,1922,3757
109616986,2,0,0,0,0,6,3,0,3,0,1,1,0,0
55690,3708,3669,1725,812,2244,2420,1400,776,1726,1818,1845,2842,1918,3175
105369354,29,4,0,0,6,108,58,19,42,19,27,7,12,3
64837,68,60,55,30,32,90,24,59,82,77,59,163,70,133
105369352,30,21,16,9,11,35,5,13,19,37,15,43,12,35
105369351,2,1,0,0,1,8,2,2,2,2,2,4,2,3
81876,2191,2317,3945,1685,1442,1950,1149,883,1248,1150,1898,2810,2096,2705
107984340,374,446,765,368,292,297,210,126,218,213,281,523,246,496
254263,9,6,2,0,6,35,18,9,18,16,34,4,13,5
10897,165,196,336,194,96,155,43,73,80,121,65,365,158,265
256472,0,1,0,1,0,0,0,1,0,0,2,1,0,0
57124,33,33,54,87,30,25,6,1,9,5,6,33,4,19
9610,110,125,205,93,77,25,40,21,36,112,49,123,35,94
25855,759,636,1013,550,360,1163,641,336,616,598,1256,879,656,728
11041,31,34,31,18,27,14,8,2,8,18,6,85,41,94
102724064,7,5,10,7,4,6,3,2,5,6,2,13,2,8
100189285,0,2,6,0,0,2,0,0,1,0,0,1,0,0
3177,33,40,18,17,21,39,7,10,20,34,21,78,47,53
266743,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65003,216,149,241,193,163,295,128,127,130,213,160,406,211,391
246330,84,84,106,72,57,83,26,32,20,50,27,133,59,129
101928069,48,33,34,40,32,68,39,23,20,41,24,57,14,54
10072,239,193,281,175,140,185,77,84,140,162,99,474,192,337
582,98,70,31,13,50,29,18,19,20,56,13,161,39,144
254359,282,285,247,191,180,353,159,111,252,342,268,443,177,326
89,2,2,1,0,0,1,6,0,2,2,0,5,6,9
8722,191,92,79,80,55,95,54,44,48,55,64,252,63,184
55231,0,0,0,0,0,0,0,0,1,0,0,1,0,0
9973,238,197,307,249,161,217,130,141,112,162,110,409,165,210
100526737,352,269,388,175,161,495,237,260,317,260,284,512,394,425
10432,300,324,223,155,161,139,58,93,118,176,47,623,295,566
5936,836,474,696,297,316,1078,527,491,699,617,836,1001,646,831
83759,102,33,18,13,27,39,38,25,43,52,62,227,98,215
6712,10,5,1,1,9,5,3,0,1,7,3,8,4,13
79703,89,53,21,16,34,125,29,43,65,76,36,132,59,121
9986,155,116,124,83,58,249,70,120,118,156,124,157,111,141
5091,30,34,35,34,21,20,16,11,9,10,4,37,31,51
78999,65,53,66,53,41,24,18,36,21,36,7,64,28,50
100423029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105369355,0,1,0,0,0,0,0,0,0,0,0,0,0,0
254439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102465518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29984,0,0,0,2,1,3,0,1,0,1,1,4,0,3
107984341,24,12,0,0,2,3,13,2,19,7,3,12,2,4
22992,2786,2259,327,99,1067,3384,2278,859,2936,2712,2469,2206,1052,2216
156,7316,6303,8431,4555,3701,5388,3693,1946,4143,4240,8570,8994,5333,8032
338692,2063,1144,845,691,487,1981,1026,780,922,1210,1708,2017,1420,1596
54961,234,158,180,127,58,153,86,92,84,126,206,292,137,270
100130987,9,0,1,0,4,7,3,6,2,3,0,5,3,7
57804,1034,889,1113,964,561,893,529,556,476,512,462,1310,969,951
23529,81,43,31,25,27,141,72,42,85,122,114,108,70,81
5883,527,355,446,279,240,234,125,178,147,222,159,665,377,469
5499,3302,3084,4708,2509,2047,1375,826,1197,781,1460,708,4962,2798,4066
374403,2317,1374,1712,1493,851,1926,725,776,744,1214,832,3937,1867,2569
57571,150,122,49,73,134,148,52,53,81,70,35,248,52,152
6199,827,658,749,612,426,1044,623,407,568,674,787,967,504,717
57175,2098,2175,3681,2751,1784,2419,963,1048,1343,1684,973,4731,2355,3522
5790,1142,1101,1643,1680,1070,1578,578,699,815,1021,581,2792,1553,1934
390212,3,5,0,0,1,1,0,1,0,0,4,1,0,0
57010,21,11,0,1,10,10,25,9,12,18,22,34,2,21
80194,275,209,235,206,118,212,120,105,130,206,150,474,159,316
9049,909,704,937,601,415,1437,687,415,750,906,905,1612,906,1219
102465450,6,3,3,1,2,15,8,1,3,7,4,7,4,4
9600,1717,1707,2034,1324,1053,1488,831,560,978,1077,1047,1910,868,1635
10263,388,355,650,282,236,213,126,132,131,207,233,1009,653,908
51475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2950,1887,1938,3386,1775,1169,2655,1436,902,1786,1756,1654,2739,1382,2328
100505621,0,0,1,0,0,1,0,0,0,0,0,1,0,0
4723,890,639,764,507,410,754,471,345,512,647,646,1158,525,775
390213,5,3,3,1,6,6,6,2,2,9,0,11,2,4
254552,7,15,5,9,13,24,14,15,7,20,2,9,2,23
347853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91703,5,3,10,2,3,4,3,2,2,2,4,7,8,7
222,0,0,0,0,1,1,0,0,0,1,0,0,0,0
105369358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105379406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645332,7,2,0,0,3,4,0,2,3,3,0,22,4,25
105369360,9,1,0,4,0,4,0,1,0,1,0,9,3,10
112268076,0,0,0,0,0,0,0,0,1,1,0,0,0,1
81622,2000,1990,6774,1880,1271,858,503,447,638,911,1569,2595,1386,2132
221,807,943,1130,605,421,594,399,216,498,451,786,971,441,920
4728,344,256,393,244,151,470,218,195,320,323,606,563,283,490
102465669,2,2,0,5,1,14,6,0,14,6,22,2,0,2
100616403,14,4,0,0,0,8,5,0,3,7,8,2,2,3
10312,5938,5032,8431,4189,2784,4551,2740,1808,2961,2991,5377,5097,2914,4272
102465451,8,8,4,2,1,6,5,1,4,2,14,5,1,5
1119,112,51,10,5,43,294,213,136,412,186,492,123,75,96
105369362,0,0,0,0,0,0,0,0,3,0,0,0,0,0
51111,620,223,12,5,86,332,199,145,219,333,447,873,370,984
53838,64,42,34,16,33,74,18,27,15,50,33,275,91,294
105369363,3,1,1,4,3,2,3,0,4,2,3,7,1,9
4041,23,23,10,5,10,13,6,5,12,8,2,44,5,32
55291,1352,540,18,9,190,791,771,239,910,889,1187,1434,565,1420
107984343,0,2,0,0,0,0,0,0,0,0,0,0,0,0
51083,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9633,60,49,9,7,21,37,17,18,22,26,21,67,46,43
1374,1057,471,45,24,270,408,279,181,442,440,207,2276,570,2117
105369364,1,2,0,0,0,0,0,4,2,0,0,7,0,16
219927,165,111,115,69,56,266,95,85,168,128,216,252,156,194
3508,197,116,21,26,65,163,85,66,158,176,144,234,84,213
116512,0,0,0,0,0,0,0,0,0,4,0,0,0,1
116535,0,0,0,0,0,0,0,0,1,0,3,1,0,1
101928200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219931,197,178,90,72,86,74,49,71,76,120,75,220,98,203
100422846,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107984344,10,8,0,1,3,5,1,4,1,7,3,14,5,11
338694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984345,27,3,0,0,5,3,0,1,7,6,12,6,4,9
105369366,0,0,0,0,0,0,0,0,0,0,0,2,0,0
105369367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105369368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26579,10,15,8,31,13,20,6,10,20,11,7,22,5,26
105369370,6,4,3,3,7,11,0,9,4,1,6,14,1,16
102724265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105379407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101928292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,11,11,1,0,1,9,7,8,9,5,6,26,11,31
220064,145,66,32,16,45,80,75,48,70,115,176,230,90,170
9965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101928443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105369371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100009613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105369372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101928473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8772,154,135,152,94,60,105,112,54,83,131,116,654,169,510
8500,344,226,16,4,85,131,124,63,135,155,258,497,152,547
100313770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984346,0,1,0,0,0,0,4,0,0,0,3,0,0,0
105369373,9,9,0,2,2,3,4,2,10,4,7,16,2,11
107984347,48,24,1,0,8,23,13,9,18,18,20,46,21,53
2017,69,157,38,41,108,172,47,90,134,104,67,509,158,642
22941,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100874198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100500844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717,79,156,119,120,99,127,69,41,123,141,112,171,54,147
55191,859,673,757,421,312,707,384,268,330,519,570,1145,549,855
102466728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050,0,0,0,0,0,0,0,0,0,0,0,1,0,1
57830,0,0,0,0,0,0,0,0,0,2,0,5,0,0
3846,0,1,0,0,0,0,0,0,5,0,0,1,0,0
387273,1,0,0,0,1,0,0,0,0,0,1,1,0,0
440051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105379409,1,0,1,0,0,0,0,0,0,0,0,1,0,0
55199,10,13,1,0,0,6,0,2,0,6,1,65,17,77
285407,0,6,1,1,0,1,0,1,0,1,0,19,2,18
100131539,4,5,0,0,0,8,1,1,0,2,0,6,0,0
245911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100133315,10,3,6,5,1,3,2,0,2,4,8,18,0,8
100129216,1,0,0,0,0,1,2,0,0,1,0,0,0,0
55298,89,66,48,21,38,57,28,19,39,48,69,167,66,148
10068,188,193,98,56,88,147,87,62,92,109,157,186,75,210
4926,1880,1560,327,192,1189,968,633,318,861,1001,1082,2676,926,2502
100128494,382,409,82,41,311,170,148,48,212,204,191,555,130,523
100422953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220074,279,225,348,154,161,417,184,109,171,215,161,391,202,359
55004,1290,1336,2299,1010,917,1475,762,632,657,870,587,1950,1149,1658
25906,154,72,120,64,47,315,130,76,124,154,142,220,127,190
2352,226,89,10114,100,52,173,3344,81,56,503,25,4147,277,3614
2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2350,53,43,58,23,30,66,12,12,42,38,33,96,34,80
3636,889,830,809,354,447,622,448,265,434,625,808,1325,524,1170
401,1,0,2,0,0,0,1,1,0,1,4,0,0,2
81570,171,89,68,25,85,90,55,44,93,101,49,208,89,254
112268077,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105369376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101928555,3,0,0,0,0,0,0,0,3,1,4,1,0,3
5138,22,17,10,13,25,30,25,8,85,15,188,21,11,13
105369378,4,9,5,7,17,3,4,7,3,1,12,20,3,14
105369377,0,0,0,0,0,0,1,0,0,2,2,0,0,0
406931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105369379,7,8,0,0,2,7,8,3,5,4,13,0,0,0
116985,8084,6869,6522,3100,3349,3433,2270,1580,1955,2724,4969,7049,4854,6216
100506020,309,300,269,138,143,114,99,49,69,93,99,264,91,196
10809,316,493,311,211,215,539,305,199,360,360,543,378,285,360
100616410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105369380,29,14,7,12,9,37,35,20,19,30,38,39,29,36
107984421,32,25,2,9,17,31,14,25,11,10,27,93,62,71
89849,6094,3197,1602,1092,1535,3854,1493,1540,1055,2007,1891,3595,2664,2718
9873,1003,482,19,8,178,737,315,215,451,651,508,1092,391,1157
105369381,2,0,0,0,0,0,0,0,0,0,0,1,0,2
5029,106,123,82,23,54,165,109,88,126,258,141,80,77,82
105369382,3,0,0,1,0,0,0,1,0,1,1,0,0,0
5031,5,3,16,3,1,2,1,2,4,6,7,9,12,18
9828,13,9,4,0,2,16,14,3,22,4,31,7,1,8
100287837,1,0,0,0,0,3,2,0,4,2,4,0,0,0
84957,1637,1086,838,513,569,2783,1268,639,2543,1858,2329,1058,690,699
23201,725,476,59,26,261,311,298,116,281,394,206,723,229,787
58473,153,110,64,91,83,84,21,40,18,102,14,397,105,379
5870,1234,508,32,24,240,613,477,293,588,705,768,1663,690,1964
51642,147,30,25,15,24,142,21,59,80,101,48,206,73,184
51287,88,49,94,59,47,84,36,44,22,59,58,302,129,280
80227,54,25,13,6,19,32,28,27,20,32,70,148,40,125
374407,125,44,2,11,19,134,67,11,96,82,57,34,14,17
7351,2306,2715,2952,1509,1924,1820,758,797,1014,1260,753,6671,2119,5987
7352,50,16,0,0,12,26,11,7,17,16,10,25,23,38
26005,249,183,19,8,116,244,149,76,207,292,217,327,158,335
51400,61,39,20,19,46,79,50,25,43,59,52,212,74,194
105369383,1,1,0,0,0,5,4,3,6,1,3,0,1,1
283208,0,0,2,0,0,0,0,0,0,0,0,0,0,0
101928580,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112268078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283209,75,28,3,0,13,41,13,16,29,47,47,156,62,192
100616215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008,301,137,57,44,39,110,69,65,90,112,55,1137,446,1165
387787,42,15,4,5,9,15,18,6,9,4,8,33,12,31
100287896,15,4,2,2,7,9,9,2,9,1,4,52,20,32
105369386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10714,301,108,11,1,36,121,58,29,46,88,121,270,116,249
25884,0,0,0,0,0,0,0,0,0,1,0,1,0,0
100616402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254225,960,460,34,9,150,414,369,92,302,452,298,461,253,538
143570,332,152,11,2,48,154,96,55,103,132,125,219,224,232
107984352,0,1,0,0,0,3,0,0,0,2,0,0,1,0
9789,505,227,215,89,185,265,194,108,230,203,395,1016,448,841
10825,203,97,6,1,39,140,77,22,152,121,118,211,75,174
341152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11309,0,0,0,0,1,0,2,0,0,1,2,0,0,1
105369388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100507050,10,4,1,0,2,4,5,3,0,2,7,4,0,1
408,1705,1160,581,287,671,540,483,283,568,788,464,2081,1067,2024
442900,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6188,22042,18865,21083,19207,13520,46157,20960,13787,24227,18874,21650,27228,13346,20769
6079,2,0,0,0,0,3,1,0,0,1,2,1,2,1
114599,6,1,0,0,0,2,3,3,0,6,0,1,0,1
283212,7,12,3,5,7,2,0,2,2,6,3,14,1,7
81544,264,273,231,205,203,170,150,135,176,280,189,276,185,259
105369389,4,5,11,4,3,3,3,7,5,3,5,4,2,3
871,26,16,27,16,16,33,13,9,10,10,24,111,32,119
105369391,0,0,0,0,2,0,1,0,0,0,0,0,0,0
4135,0,0,0,0,0,2,0,0,0,0,1,1,0,0
105369392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105369393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283214,2,0,0,0,0,1,0,0,0,0,0,0,0,0
84649,2743,2618,5847,2045,1774,1013,632,415,584,454,1757,1672,1275,1626
100506113,2,2,4,2,1,2,1,0,1,0,0,2,1,5
7405,647,243,20,11,91,686,371,174,592,655,782,614,172,604
7481,5,5,3,2,5,1,1,2,3,2,2,8,4,10
112268079,0,0,2,4,0,0,0,1,0,0,0,0,0,0
107984359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100189072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100189224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105369395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5612,956,247,6,2,89,659,479,200,464,753,413,1170,475,1242
100506127,35,4,0,0,3,7,0,7,1,9,2,95,18,63
56946,323,161,8,4,60,137,88,65,68,128,197,281,130,272
101928813,7,0,4,5,7,11,10,3,6,4,6,11,0,18
2615,59,149,203,140,132,267,130,104,165,70,116,233,111,228
107984360,161,442,632,436,418,733,358,299,386,172,295,778,409,855
390226,1,1,0,0,0,0,0,0,0,1,0,3,0,0
105369397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101928837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55331,208,112,19,1,24,109,122,53,106,145,185,282,123,334
192134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105369399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105369400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,58,77,83,103,86,38,57,69,32,23,61,72,71,81
4975,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4647,17,33,37,12,8,18,4,9,10,14,10,84,18,72
220032,0,0,0,0,0,0,0,0,0,0,1,1,0,1
5058,2111,1205,268,73,460,541,507,280,392,573,882,2307,1427,2571
646029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282679,4,3,1,1,0,4,1,0,6,3,0,15,8,17
1207,417,156,117,51,113,384,219,152,193,360,151,787,328,760
107984369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51773,729,336,23,11,136,572,452,156,608,491,772,650,293,831
28971,20,26,23,10,10,11,11,8,12,15,5,61,19,37
92105,218,74,20,3,44,137,84,45,137,136,162,418,145,372
100532726,185,134,172,72,74,209,107,57,86,155,86,329,165,237
65987,1,1,0,1,0,2,0,1,1,1,3,1,0,0
7069,1,0,0,0,0,0,0,0,0,0,0,2,2,1
4718,223,155,183,74,87,232,119,69,97,184,92,420,206,337
105369401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79053,99,47,45,14,41,51,22,34,35,58,29,224,95,223
100289388,12,5,2,1,3,4,3,1,3,7,8,29,14,28
283219,67,60,21,7,24,19,14,12,27,14,58,194,122,212
57558,184,133,41,22,77,177,119,39,168,132,232,127,51,98
9846,2561,2150,371,82,797,3332,2567,485,2731,1238,5056,980,1011,991
105369402,14,5,14,2,0,11,1,4,6,2,9,5,3,4
101928865,6,3,0,0,3,5,1,3,4,8,0,5,4,1
79731,51,9,0,1,10,61,10,14,22,21,41,163,39,100
105369403,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101928896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26011,3,0,0,1,18,3,4,7,15,0,5,0,0,0
100126333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
